UF;SECAO;ZONA;COD_MUNIC_TSE;NM_MUNIC_TSE;COD_MUNIC_IBGE;NM_MUNIC_IBGE;CAPITAL;COD_MUNIC_ECT;COD_BAIRRO_TSE;NM_BAIRRO;COD_BAIRRO_ECT;COD_LOCALVOTACAO_TSE;ENDERECO_LOCALVOTACAO;NUM_CEP;NM_LOCALVOTACAO;SITUACAO
SP;2;398;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE CRUZEIRO DO SUL;26322;36545;RUA JOÃO MARTINS, 48;8070330;COLEGIO DOTTORI - UNIDADE I;Ativo
SP;2;403;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM VISTA LINDA;26247;35429;R BELO JARDIM, 674;5159200;EE PROFA ZENAIDE VILALVA DE ARAUJO;Ativo
SP;2;404;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;E5cb10020917582209;JARDIM DAS LARANJEIRAS;;34932;RUA PIRAMIDE DOS PIQUES SN;8380370;EE ANTONIETA DE SOUZA ALCANTARA;Ativo
SP;2;405;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;E12510021116402171;JARDIM SÃO PEDRO;;34933;R LUIS MEDEIROS DA SILVA, 130;8420650;EMEF BENEDITO CALIXTO;Ativo
SP;2;408;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;2,84203E+17;JARDIM SAO LUIS (ZONA OESTE);26146;35284;R ANTONIO RAMOS ROSA, 100;5822010;EE REVERENDO JACQUES ORLANDO CAMINHA D AVILA;Ativo
SP;2;413;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM DA SAUDE;25635;36091;RUA FILIPE CARDOSO, 554    ;4149080;EE DEP RUBENS DO AMARAL;Ativo
SP;2;417;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM NOSSA SENHORA DO CARMO;25970;36490;RUA VENANCIO LISBOA, 382;8280590;EE CIDADE DE HIROSHIMA;Ativo
SP;2;418;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;JARDIM MARTINI;25916;E8a607082813443130;RUA ENGENHEIRO JOÃO LANG, N. 100;4439070;EMEF PRESTES MAIA;Ativo
SP;2;420;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE EDU CHAVES;26341;35059;RUA MAJOR BARACCA 584;2232000;EE GABRIELA MISTRAL;Ativo
SP;2;421;71072;SÃO PAULO;3550308;SÃO PAULO;S;9668;1,98022E+15;PARQUE SANTA MADALENA;26408;35041;RUA ALM OTACILIO CUNHA, 325;3982190;EM BRASILIO MACHADO NETO;Ativo
