ENDERECO_L;COD_MUNIC_;NUM_ZONA;NUM_SECAO;COD_LOCALV;NM_BAIRRO;NR_LOCAL_V;NM_LOCALVO;COD_MUNI_1;NM_MUNIC_I;NUM_CEP;lon;lat;CD_GEOCODB;NM_BAIRR_1
RUA BUENO BRANDAO    ,151;41238;26;153;13562;FLORESTA;1287;COLEGIO SAO JOSE;3106200;BELO HORIZONTE;31010060;-43,9263339;-19,9154061;3,1062E+11;Floresta
RUA CALENDULA    ,10;41238;36;102;13272;OLARIA;1236;ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA;3106200;BELO HORIZONTE;30660440;-44,0296217;-19,9894059;3,1062E+11;Olaria
RUA CALENDULA    ,10;41238;36;103;13272;OLARIA;1236;ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA;3106200;BELO HORIZONTE;30660440;-44,0296217;-19,9894059;3,1062E+11;Olaria
RUA CALENDULA    ,10;41238;36;279;13272;OLARIA;1236;ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA;3106200;BELO HORIZONTE;30660440;-44,0296217;-19,9894059;3,1062E+11;Olaria
RUA CALENDULA    ,10;41238;36;104;13272;OLARIA;1236;ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA;3106200;BELO HORIZONTE;30660440;-44,0296217;-19,9894059;3,1062E+11;Olaria
RUA CALENDULA    ,10;41238;36;384;13272;OLARIA;1236;ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA;3106200;BELO HORIZONTE;30660440;-44,0296217;-19,9894059;3,1062E+11;Olaria
RUA CALENDULA    ,10;41238;36;407;13272;OLARIA;1236;ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA;3106200;BELO HORIZONTE;30660440;-44,0296217;-19,9894059;3,1062E+11;Olaria
RUA CALENDULA    ,10;41238;36;329;13272;OLARIA;1236;ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA;3106200;BELO HORIZONTE;30660440;-44,0296217;-19,9894059;3,1062E+11;Olaria
RUA CALENDULA    ,10;41238;36;106;13272;OLARIA;1236;ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA;3106200;BELO HORIZONTE;30660440;-44,0296217;-19,9894059;3,1062E+11;Olaria
RUA CALENDULA    ,10;41238;36;105;13272;OLARIA;1236;ESCOLA MUNICIPAL SEBASTIAO GUILHERME DE OLIVEIRA;3106200;BELO HORIZONTE;30660440;-44,0296217;-19,9894059;3,1062E+11;Olaria
